Name,Birth Date,Phone Number,Own House,Country,Zip Code,Year,Time,Longitude,Latitude
Kevin Black,2000-05-27,+44115 4960368,YES,Poland,14564,2013,16:26:30,20.265165,67.7213015
Kari West,1972-08-31,0117 496 0407,YES,Nigeria,20242,1991,01:22:04,-81.452712,0.124163
Randy David,1998-06-16,+44(0)8081570144,YES,Jamaica,86649,1999,17:19:50,-7.036782,62.632637
Brooke Solomon,2006-12-06,0114 496 0776,YES,Gambia,69954,1970,12:19:05,-62.663767,9.157957
Bridget Bryan,1982-05-02,+44116 496 0912,NO,Morocco,11121,1972,16:45:13,-5.172924,-30.152009
Christina Rodriguez,2001-02-11,(0161) 4960483,YES,Cayman Islands,35081,2010,01:12:07,41.652359,-81.8027325
Theresa Gray,2015-05-17,+44(0)808 1570620,NO,United States Virgin Islands,01784,1990,21:28:59,-94.726051,31.1683635
Jeremy Barnes,1976-07-02,+44(0)292018816,YES,Belarus,17682,1996,16:51:37,-62.945686,-78.770302
Taylor Fisher,1973-04-23,+442074960376,YES,Martinique,44879,1994,15:12:53,-36.895284,51.290810
Michelle Valencia,2010-03-07,(0808) 157 0120,YES,Sweden,41320,1991,21:19:18,23.899010,67.6229925
Cathy Larson,2018-07-14,08081570861,NO,Nicaragua,46421,2020,05:51:24,-82.418308,-27.1364735
David Daniels,2004-06-10,(0118)4960453,NO,Antarctica (the territory South of 60 deg S),34614,1985,08:10:50,-40.011151,-72.4632175
Henry Harrison,2014-01-04,+4428 9018737,NO,Canada,73896,1991,07:56:16,46.868446,64.879544
Patrick Lewis,2001-01-21,+44(0)1632 960139,YES,Malaysia,59535,1979,13:47:38,-119.023925,-19.7501525
Lauren Woods,2000-09-25,+44(0)3069990551,NO,Qatar,76636,2000,21:11:43,-33.235331,-75.6806345
Janice Leblanc,1996-07-28,+441914960316,NO,Nauru,86240,2018,12:56:08,-85.015723,50.9160445
Douglas Murphy,1984-03-18,0113 496 0360,NO,Reunion,34963,1976,07:49:55,176.202469,83.6308635
Kimberly Simmons,1984-05-13,(0131)4960841,YES,Benin,50361,2010,08:27:55,-17.267600,-29.9642985
Mr. Douglas Hamilton,1975-12-07,(0808) 157 0611,YES,Guatemala,83594,2001,18:50:04,-47.623285,-38.5321475
Andrew Bennett,1984-06-12,(0151) 496 0745,NO,Korea,79679,2005,23:03:39,-79.971250,83.847792
Daniel Holder,1993-07-22,+441632 960121,NO,Namibia,69456,2001,20:58:10,-48.036072,-72.7576385
Janet Santana,1997-01-07,+44909 8790212,NO,Mauritius,99106,2016,05:49:20,-153.197911,2.7308235
Jason Potts,2003-03-06,+441144960139,NO,Luxembourg,47883,1989,11:11:35,-6.251660,59.5786505
