Name,Own_House,Country,Zip_Code,Year,Time,Longitude,Latitude
Gloria Graves,True,Bermuda,75055,1988,,35.698168,33.7772145
April Duran,True,Spain,43306,2007,,153.851773,-56.254813
Olivia Reeves,False,Mauritania,18065,1991,,79.908700,54.5633085
Megan Lee,True,Cuba,00854,2020,,-21.103360,-9.349814
Karen Alvarez,True,Montenegro,38093,1995,,-169.588508,21.9417895
Michael Roberts,False,Norfolk Island,61413,2007,,-17.997401,0.149457
Alison Conner,True,Palau,44269,2019,,63.327465,78.9545405
Thomas Steele,False,Falkland Islands (Malvinas),84827,2004,,-104.564432,-79.2831545
Allison Adams,False,South Africa,95785,1979,,60.646004,1.5562635
Sarah Smith,False,Guadeloupe,41674,1976,,-85.517110,-46.714325
April Mckinney,False,Qatar,11728,2011,,-82.945324,-65.8562475
Teresa Kane,False,Burkina Faso,85763,2016,,-10.282995,73.8956065
James Taylor,False,Ghana,68110,1985,,-23.362633,-31.2143235
Rachel Baker,False,Serbia,96970,1990,,147.853526,79.529769
Jennifer Rice,False,Saint Helena,52025,2005,,-72.442599,63.6876405
James Bates,False,Turkey,95068,1970,,47.414376,-53.477277
Kyle Thompson,True,Rwanda,69382,2014,,-85.840565,34.3604265
Dr. Kevin Casey Jr.,True,Moldova,38717,2015,,-29.511568,-82.994692
Shannon Reed,False,Belize,40941,2018,,127.858293,10.8245875
Lisa Morgan,True,Niue,46810,2021,,66.817246,-57.690079
Susan Davis,False,Sri Lanka,81766,2011,,-143.602649,5.091907
Ryan Glover,True,Gibraltar,62405,1977,,31.436779,-0.9870075
Michael Richmond,False,Korea,62068,2002,,67.932895,-41.3506545
Ms. Maria Edwards,False,Poland,52095,1984,,8.013812,-14.890555
Eric Johnson,False,Saint Vincent and the Grenadines,77911,1998,,-170.553618,-68.353275
Jessica Frye,False,Liechtenstein,03390,1999,,-84.613437,21.7046355
Jessica Quinn,True,Moldova,38598,1984,,50.343825,4.7647855
Donna Turner,False,Mauritania,72015,2004,,-143.256019,-32.0494875
John Boyd,True,Slovakia (Slovak Republic),12996,1988,,-92.728412,-48.969494
Robert Castaneda,False,Bermuda,00690,1973,,-59.316828,-69.6704685
