customerid,name,address,city,state,pincode
1,Christina Nelson,"5144 Duncan Ramp Suite 217
Coreyhaven, NJ 42619",Brittanytown,Indiana,14604
2,Amy Gibson,"865 Luna Skyway
Schneidermouth, IN 92327",Martinezhaven,Ohio,27396
3,Sarah Frost,"5281 Wilson Light
West Ashley, TX 08621",Duranville,Hawaii,57625
4,Bridget Hines,"USS Brown
FPO AE 08948",Jimenezfurt,Oregon,85714
5,Ian Mendez,"50072 Nicholas Parkways
Christinaburgh, IN 38905",Heatherbury,Delaware,62974
6,David Patel,"0522 Chloe Groves
East Kim, SD 06758",West Amandaborough,Wyoming,37106
7,Maria Lewis,"5673 Charlene Curve Apt. 045
New Amymouth, CO 03600",Cookside,Mississippi,67582
8,Nancy Gutierrez,"1639 Kaufman Ways
East Johnathan, CO 21170",North Jay,New Mexico,01099
9,Robert Walker,"4747 Johnson Locks Suite 278
New Deborah, IL 65133",Williamsonburgh,North Dakota,44910
10,Christina Hester,"PSC 0610, Box 4734
APO AP 73355",Colleenstad,Delaware,58440
11,Brian Ballard,"0717 Gonzalez Trace
North Renee, WA 85316",Michaelmouth,Montana,12683
12,Jessica Dodson,"2669 Jessica Ports
North Kelly, WV 24278",East John,Illinois,44410
13,Jennifer Lawson,"3457 Brian Passage Apt. 290
South Tom, NY 45847",Carolville,North Carolina,61992
14,Chelsea Parks,"18030 Mitchell Overpass
Robinsonville, AR 76871",Karenfort,Tennessee,15587
15,Ryan Schmitt Jr.,"477 Suzanne Prairie
Stricklandberg, ID 99751",North Chadville,Georgia,51072
16,Christopher Copeland,"59818 Stout Extensions Suite 890
Michaelborough, KS 62681",Velezfurt,Wyoming,49736
17,Trevor Buchanan,"5452 Joseph Way
Karaland, PA 81872",Mauricefurt,Rhode Island,96867
18,Jillian Mercado,"1349 Cohen Circles Suite 722
Juliefort, NH 80463",East Peterhaven,Hawaii,70783
19,Lee Sanders,"73990 Stanton Wall Apt. 808
East David, MO 02545",New Larrybury,South Dakota,82386
20,James Jackson,"63492 Espinoza Isle
Nataliemouth, LA 76015",Pearsonshire,Utah,71577
